test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D,key
sat-practice-test-4-digital,Reading and Writing,1,1,Multiple Choice,B,"Text 1 Conventional wisdom long held that human social systems evolved in stages, beginning with hunter-gatherers forming small bands of members with roughly equal status. The shift to agriculture about 12,000 years ago sparked population growth that led to the emergence of groups with hierarchical structures: associations of clans first, then chiefdoms, and finally, bureaucratic states. Text 2 In a 2021 book, anthropologist David Graeber and archaeologist David Wengrow maintain that humans have always been socially flexible, alternately forming systems based on hierarchy and collective ones with decentralized leadership. The authors point to evidence that as far back as 50,000 years ago some hunter-gatherers adjusted their social structures seasonally, at times dispersing in small groups but also assembling into communities that included esteemed individuals.","Based on the texts, how would Graeber and Wengrow (Text 2) most likely respond to the “conventional wisdom” presented in Text 1?",By conceding the importance of hierarchical systems but asserting the greater significance of decentralized collective societies,By disputing the idea that developments in social structures have followed a linear progression through distinct stages,By acknowledging that hierarchical roles likely weren’t a part of social systems before the rise of agriculture,By challenging the assumption that groupings of hunter-gatherers were among the earliest forms of social structure,sat-practice-test-4-digital__Reading_and_Writing__1__1
sat-practice-test-4-digital,Reading and Writing,1,2,Multiple Choice,C,"Research conducted by planetary scientist Katarina Miljkovic suggests that the Moon’s surface may not accurately _______ early impact events. When the Moon was still forming, its surface was softer, and asteroid or meteoroid impacts would have left less of an impression; thus, evidence of early impacts may no longer be present.",Which choice completes the text with the most logical and precise word or phrase?,reflect,receive,evaluate,mimic Mo,sat-practice-test-4-digital__Reading_and_Writing__1__2
sat-practice-test-4-digital,Reading and Writing,1,3,Multiple Choice,D,"Handedness, a preferential use of either the right or left hand, typically is easy to observe in humans. Because this trait is present but less _______ in many other animals, animal-behavior researchers often employ tasks specially designed to reveal individual animals’ preferences for a certain hand or paw.",Which choice completes the text with the most logical and precise word or phrase?,recognizable,intriguing,significant,useful odule,sat-practice-test-4-digital__Reading_and_Writing__1__3
sat-practice-test-4-digital,Reading and Writing,1,4,Free Response,A,,,,,,,sat-practice-test-4-digital__Reading_and_Writing__1__4
sat-practice-test-4-digital,Reading and Writing,1,6,Multiple Choice,,"The following text is from the 1923 poem “Black Finger” by Angelina Weld Grimké, a Black American writer. A cypress is a type of evergreen tree. I have just seen a most beautiful thing, Slim and still, Against a gold, gold sky, A straight black cypress, Sensitive, Exquisite, A black finger Pointing upwards. Why, beautiful still finger, are you black? And why are you pointing upwards?",Which choice best describes the overall structure of the text?,"The speaker assesses a natural phenomenon, then questions the accuracy of her assessment.","The speaker describes a distinctive sight in nature, then ponders what meaning to attribute to that sight.","The speaker presents an outdoor scene, then considers a human behavior occurring within that scene.","The speaker examines her surroundings, then speculates about their influence on her emotional state. Mo",sat-practice-test-4-digital__Reading_and_Writing__1__6
sat-practice-test-4-digital,Reading and Writing,1,7,Multiple Choice,A,"The following text is from Walt Whitman’s 1860 poem “Calamus 24.” I HEAR it is charged against me that I seek to destroy institutions; But really I am neither for nor against institutions (What indeed have I in common with them?— Or what with the destruction of them?), Only I will establish in the Mannahatta [Manhattan] and in every city of These States, inland and seaboard, And in the fields and woods, and above every keel [ship] little or large, that dents the water, Without edifices, or rules, or trustees, or any argument, The institution of the dear love of comrades.",Which choice best describes the overall structure of the text?,"The speaker questions an increasingly prevalent attitude, then summarizes his worldview.","The speaker regrets his isolation from others, then predicts a profound change in society.","The speaker concedes his personal shortcomings, then boasts of his many achievements.","The speaker addresses a criticism leveled against him, then announces a grand ambition of his. odule",sat-practice-test-4-digital__Reading_and_Writing__1__7
sat-practice-test-4-digital,Reading and Writing,1,8,Free Response,D,,---------~,,,,,sat-practice-test-4-digital__Reading_and_Writing__1__8
sat-practice-test-4-digital,Reading and Writing,1,10,Multiple Choice,C,"The following text is adapted from Frances Hodgson Burnett’s 1911 novel The Secret Garden. Mary, a young girl, recently found an overgrown hidden garden. Mary was an odd, determined little person, and now she had something interesting to be determined about, she was very much absorbed, indeed. She worked and dug and pulled up weeds steadily, only becoming more pleased with her work every hour instead of tiring of it. It seemed to her like a fascinating sort of play.",Which choice best states the main idea of the text?,Mary hides in the garden to avoid doing her chores.,Mary is getting bored with pulling up so many weeds in the garden.,Mary is clearing out the garden to create a space to play.,Mary feels very satisfied when she’s taking care of the garden. Mo,sat-practice-test-4-digital__Reading_and_Writing__1__10
sat-practice-test-4-digital,Reading and Writing,1,11,Multiple Choice,,"The following text is from Ezra Pound’s 1909 poem “Hymn III,” based on the work of Marcantonio Flaminio. As a fragile and lovely flower unfolds its gleaming foliage on the breast of the fostering earth, if the dew and the rain draw it forth; So doth my tender mind flourish, if it be fed with the sweet dew of the fostering spirit, Lacking this, it beginneth straightway to languish, even as a floweret born upon dry earth, if the dew and the rain tend it not.","Based on the text, in what way is the human mind like a flower?",It becomes increasingly vigorous with the passage of time.,It draws strength from changes in the weather.,It requires proper nourishment in order to thrive.,It perseveres despite challenging circumstances. odule,sat-practice-test-4-digital__Reading_and_Writing__1__11
sat-practice-test-4-digital,Reading and Writing,1,12,Free Response,A,,,,,,,sat-practice-test-4-digital__Reading_and_Writing__1__12
