test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D
sat-practice-test-7-digital,Reading and Writing,1,1,Multiple Choice,A,"On the basis of extensive calculations and models, astronomers in the 1990s predicted that the collision of two neutron stars or a neutron star and a black hole could release a massive burst of gamma rays in an event called a kilonova. This _______ was confirmed with observations in 2017.",Which choice completes the text with the most logical and precise word or phrase?,theory,evidence,constant,experiment
sat-practice-test-7-digital,Reading and Writing,1,2,Multiple Choice,D,"- - - - - - - - - ~ The following text is from John Muir’s 1913 autobiography The Story of My Boyhood and Youth. Muir describes being on a boat. The water was so clear that it was almost invisible, and when we floated slowly out over the plants and fishes, we seemed to be miraculously sustained in the air while exploring a veritable fairyland.","As used in the text, what does the word “clear” most nearly mean?",Simple,Understandable,Obvious,Transparent Mo
sat-practice-test-7-digital,Reading and Writing,1,3,Multiple Choice,B,"At the turn of the twentieth century, Black residents of Richmond, Virginia, had few formal options for banking and other financial services. To _______ this situation, Maggie Lena Walker chartered the St. Luke Penny Savings Bank in 1903. The bank went on to provide home loans and savings opportunities to thousands of Black families over the following decades.",Which choice completes the text with the most logical and precise word or phrase?,prolong,rectify,retain,highlight
sat-practice-test-7-digital,Reading and Writing,1,4,Multiple Choice,B,"The results of randomized clinical trials testing the efficacy of common medical interventions sometimes fail to _______ conclusions that practitioners reach based on their real-world observations of patients. While there are several possible reasons for this, one is that practitioners may overlook confounding variables that account for the results they attribute to the interventions in question.",Which choice completes the text with the most logical and precise word or phrase?,circumvent,corroborate,disseminate,implement
sat-practice-test-7-digital,Reading and Writing,1,5,Multiple Choice,A,"Diadromous fish migrate between freshwater and marine biomes during their life cycle. The migration’s obligate nature is why diadromous fish can be _______ those that are merely euryhaline (able to tolerate high salinity): the euryhaline blackchin tilapia can survive high salinity, but its life cycle does not involve relocation to a different biome, as does that of the diadromous wild salmon.",Which choice completes the text with the most logical and precise word or phrase?,demarcated from,reconstituted as,conflated with,derived from
sat-practice-test-7-digital,Reading and Writing,1,6,Multiple Choice,A,"The following text is from Joan Didion’s memoir The Year of Magical Thinking. In the text, the author discusses her home life. [I]n California we heated our houses by building fires. We built fires even on summer evenings, because the fog came in. Fires said we were home, we had drawn the circle, we were safe through the night.",Which choice best describes the function of the underlined portion in the text as a whole?,It illustrates that a fire provides comfort beyond physical warmth.,It summarizes the information that came before it in the text.,It explains that the house remains cold even in summer.,It suggests that the author feels comfortable in her home with or without a fire. odule
sat-practice-test-7-digital,Reading and Writing,1,7,Multiple Choice,A,"The majority of plastics today wind up in landfills or are, at best, recycled into materials that have a very limited range of applications. To address this problem, chemist Guoliang Liu and colleagues designed a reactor that melts polyethylene and polypropylene—two widely used plastics—into a wax. The wax can then be transformed into a surfactant (a chemical compound usable as a detergent). With this promising new method, plastic waste could be turned into a range of useful cleaning products.",Which choice best states the function of the underlined portion of the text?,It clarifies the meaning of a scientific term.,It describes an environmental concern.,It explains the significance of a scientific discovery.,It identifies a result that confused the team.
sat-practice-test-7-digital,Reading and Writing,1,8,Multiple Choice,C,"The following text is from H.D.’s 1916 poem “Mid-Day.” In the poem, the speaker is on a path in an outdoor setting. A slight wind shakes the seed-pods— my thoughts are spent as the black seeds. My thoughts tear me, I dread their fever. I am scattered in its whirl. I am scattered like the hot shrivelled seeds.",Which choice best describes the function of the underlined portion in the text as a whole?,It illustrates a change in the natural environment that the speaker implies is responsible for the growing misgivings described in the text.,It establishes an example of consistency in the natural landscape that the speaker then contrasts with the unpredictability of human emotions.,It presents an observation of an occurrence in the natural world that the speaker then expands on to convey a sense of a turbulent interior state.,It evokes the ordinariness of an event in nature to suggest that the critical self-evaluation the speaker engages in is a common pursuit. Mo
sat-practice-test-7-digital,Reading and Writing,1,9,Multiple Choice,A,"In 2023 literary scholar Jeremy Douglass cautioned technology investors and enthusiasts who predict conventional books’ ultimate displacement by newer forms of media. Douglass observed that the concept of an “interactive” text is much older than technologists assume, extending back to the first time readers scratched notes into a text’s margins. In addition, newer media, such as video games, haven’t replaced older forms of entertainment, such as comic books, but rather exist alongside them. Douglass believes that rather than supplanting books, technology is simply making new forms of expression possible.",Which choice best describes the function of the underlined portion in the text as a whole?,It challenges the stance of the investors and enthusiasts who are mentioned earlier in the text.,It explains the basis for the claim made by the technologists mentioned in the text.,It suggests that academics are better suited than investors to see the potential uses of contemporary interactive texts.,It provides a historical anecdote about the technological challenges involved in reading the earliest interactive texts.
sat-practice-test-7-digital,Reading and Writing,1,10,Multiple Choice,A,"In 2018, scientists discovered an immense aggregation of Muusoctopus robustus(pearl octopuses) along a hydrothermal vent 3,200 meters beneath the ocean’s surface. Water temperatures at this site—named the Octopus Garden—climb as high as 11°C, much warmer than the ambient 1.6°Ctypical at this depth. Based on observations made over three years, scientists concluded that temperatures at the site likely confer reproductive benefits and that the site is used exclusively for reproduction—6,000 M. robustusadults, hatchlings, and eggs were observed at the garden, but no juveniles were present.",Which statement about M. robustusand the Octopus Garden is best supported by the text?,M. robustusleave the Octopus Garden upon reaching an intermediary stage of development.,TheM. robustuspopulation at the Octopus Garden remains stable despite variations in water temperature.,M. robustusnests in the Octopus Garden contain on average fewer but larger eggs than nests at similar ocean depths.,The Octopus Garden provides an ideal feeding ground for M. robustushatchlings. odule
sat-practice-test-7-digital,Reading and Writing,1,11,Multiple Choice,D,"The following text is from Thomas Mann’s 1924 novel The Magic Mountain, translated by John E. Woods in 1995. The story of Hans Castorp that we intend to tell here—not for his sake (for the reader will come to know him as a perfectly ordinary, if engaging young man), but for the sake of the story itself, which seems to us to be very much worth telling (although in Hans Castorp’s favor it should be noted that it is hisstory, and that not every story happens to everybody)—is a story that took place long ago, and is, so to speak, covered with the patina of history and must necessarily be told with verbs whose tense is that of the deepest past.",What does the text most strongly suggest about the story of Hans Castorp?,"Though it is true that stories of even the most uninteresting people are themselves interesting because all people are unique, the reason this story is interesting is nonetheless difficult to understand because of the passage of time.","Even though it is a story of a person of no particular importance, its age and the manner in which it therefore must be told are both indicators that the story itself is important.","Like all stories about the lives of inconsequential people, this story must necessarily be related in a particular way if the reason the story is consequential is to be made evident to the audience.","It is a remarkable story that happened to an unremarkable person, though one could plausibly argue that because the story is valuable, some of its value accrues to the person at its center. - - - - - - - - - ~"
sat-practice-test-7-digital,Reading and Writing,1,12,Multiple Choice,D,,"Percentage of Participants Who Mentioned Factors Researcher Judith Hilton and her team interviewed 55 people about which factors would make them switch from using single-use plastic containers to reusable containers. The graph shows three of the factors mentioned in the interviews and the percentage of participants who mentioned them. According to the graph, about what percentage of participants mentioned costs in the interviews?",10%,95%,25%,50% Mo
sat-practice-test-7-digital,Reading and Writing,1,13,Multiple Choice,A,,"A student in a political science course is writing a paper on Aristotle’s The Politics, in which Aristotle offers his opinion on political instability and gives advice on how constitutions can be preserved. Aristotle observes that different forms of government can fall in different ways—for example, oligarchies might grant power to military leaders during wartime who refuse to relinquish that power during peacetime—but some methods of preserving order apply across all forms of government. The student claims that in particular Aristotle asserts that in a healthy state obedience to law must be as close to absolute as possible and that even minor infractions should not be ignored. Which quotation from a philosopher’s analysis of The Politicswould best support the student’s claim?","“When constructing his argument regarding the characteristics of a well-functioning government, Aristotle asserts that ‘Transgression creeps in unperceived and at last ruins the state,’ illustrating this idea with a comparison to frequent small expenditures slowly and almost imperceptibly chipping away at a fortune until it is ultimately depleted.”","“When Aristotle writes on the necessity of avoiding corruption in government, he proposes that ‘every state should be so administered and so regulated by law that its magistrates cannot possibly make money.’ In particular, he thinks oligarchies are particularly susceptible to corruption through bribery.”","“When Aristotle considers the health of constitutions, he states that ‘Constitutions are preserved when their destroyers are at a distance, and sometimes also because they are near, for the fear of them makes the government keep in hand the constitution.’ He holds that rulers who wish to see constitutions preserved must continually remind the populace of the dangers that would result from a constitutional collapse.”","“When contrasting different forms of government, Aristotle holds that ‘oligarchies may last, not from any inherent stability in such forms of government, but because the rulers are on good terms both with the unenfranchised and with the governing classes.’ That is, oligarchic leaders who wish to hold on to power will introduce members of disenfranchised classes into government in a participatory role.” odule"
sat-practice-test-7-digital,Reading and Writing,1,14,Multiple Choice,B,"Almost all works of fiction contain references to the progression of time, including the time of day when events in a story take place. In a 2020 study, Allen Kim, Charuta Pethe, and Steven Skiena claim that an observable pattern in such references reflects a shift in human behavior prompted by the spread of electric lighting in the late nineteenth century. The researchers drew this conclusion from an analysis of more than 50,000 novels spanning many centuries and cultures, using software to recognize and tally both specific time references—that is, clock phrases, such as 7 a.m. or 2:30 p.m.—and implied ones, such as mentions of meals typically associated with a particular time of day.","Which finding from the study, if true, would most directly support the researchers’ conclusion?",Novels published after the year 1800 include the clock phrase 10 a.m. less often than novels published before the year 1800 do.,Novels published after 1880 contain significantly more references to activities occurring after 10 p.m. than do novels from earlier periods.,"Among novels published in the nineteenth century, implied time references become steadily more common than clock phrases as publication dates approach 1900.",The time references of noon (12 p.m.) and midnight (12 a.m.) are used with roughly the same frequency in the novels.
sat-practice-test-7-digital,Reading and Writing,1,15,Multiple Choice,A,"Percentage of ULE Attributed to Population Growth and GDP per Capita Growth in Two World Regions In a study of urban physical expansion, Richa Mahtta et al. conducted a meta-analysis of more than 300 cities worldwide to determine whether urban land expansion (ULE) was more strongly influenced by urban population growth or by growth in gross domestic product (GDP) per capita, a measure of economic activity. Because efficient national government is necessary to provide urban services and infrastructure that attract economic investment, Mahtta et al. propose that absent other factors, the importance of GDP per capita growth to ULE would likely increase relative to the importance of population growth as governments become more efficient. If true, this suggests the possibility that _______ period rowth wth",Which choice most effectively uses data from the graph to complete the statement?,"national governments of countries in Region 1 experienced declines in efficiency in the period from 2000 to 2014, relative to the period from 1970 to 2000.","countries in Region 1 experienced a slower rate of economic growth in the period from 2000 to 2014 than countries in Region 2 did, despite increasing national government efficiency in Region 1.","national governments of most countries in Region 2 became more efficient in the period from 2000 to 2014 than they had been in the period from 1970 to 2000, but those of several countries in this region did not.","national governments of countries in Region 1 and in Region 2 generally became more efficient in the period from 2000 to 2014 than they had been in the period from 1970 to 2000, but at different rates. 9 CONTINUE"
sat-practice-test-7-digital,Reading and Writing,1,16,Free Response,B,,"A student is researching the Chinese government’s 1992 shift to a market economy that emphasizes trade liberalization. One means of trade liberalization involves expanding from ordinary imports into an emphasis on processing imports, which have two types: processing with assembly (in which a firm obtains raw materials from a foreign trading partner without payment and sells the final goods to that partner, charging for assembly) and processing with inputs (in which a firm expends capital to buy raw materials from a trading partner, processes them into final goods, and sells those goods to whichever trading partner it chooses). The student asserts that while initial efforts at trade liberalization were shaped by Chinese firms’ limited capital, this situation resolved during the 2000s. China's Imports by Type, 2000-2006",,,,
sat-practice-test-7-digital,Reading and Writing,1,17,Multiple Choice,C,"Narwhals are shy whales that live in the remote Arctic Ocean. Some of them have a long tusk, like a unicorn horn, with sensitive nerves. Narwhals are known for this tusk, but many actually don’t have one and its purpose is unknown. One group of scientists came up with a possible purpose in 2014. The scientists suggested that the tusk may help narwhals determine when water around them is likely to start freezing and become dangerous for them. Marine biologist Kristin Laidre disagrees with that idea, though. She reasons that if the narwhal’s tusk serves such an important purpose, then it’s most likely that _______",Which choice most logically completes the text?,some narwhals would seek a new habitat.,fewer marine animals would also have tusks.,more narwhals would have a tusk.,narwhals would become less shy over time.
sat-practice-test-7-digital,Reading and Writing,1,18,Multiple Choice,D,"To address the susceptibility of materials used in components of high-performance machinery, such as aircraft engines, to creep (deformation that is induced by persistent mechanical stress and that often occurs at elevated temperatures), materials researchers have developed silicon carbide (SiC) fibers for producing aerospace composites. Testing the thermomechanical properties of several commercially available SiC fibers, Ramakrishna T. Bhatt et al. found that in comparison with two polymer-derived SiC fibers, a nitrogen-treated SiC fiber exhibited a lower minimum creep rate, a measure of the rate at which a stress-exposed material deforms at a constant temperature and uniaxial load. The finding suggests that _______",Which choice most logically completes the text?,"unlike the two polymer-derived SiC fibers, the nitrogen-treated SiC fiber can substantially inhibit creep, provided that temperatures and loads are consistent.","the two polymer-derived SiC fibers likely hold similar potential for reducing the creep resistance of materials exposed to stress and elevated temperatures, thus prolonging the life span of aerospace machinery.",composites based on the two polymer-derived SiC fibers have chemical properties that may improve the mechanical and thermal stability of aerospace equipment to a greater extent than do composites based on the nitrogen-treated SiC fiber.,aerospace composites containing the nitrogen-treated SiC fiber may have the ability to withstand mechanical stress for a longer period of time than can aerospace composites containing either of the two polymer-derived SiC fibers. odule
sat-practice-test-7-digital,Reading and Writing,1,19,Multiple Choice,A,"One of the earliest known maps is a Babylonian clay tablet thought to be almost 4,500 years old. The map _______ the area of a plot of land, shows a river valley, and includes the cardinal directions.",Which choice completes the text so that it conforms to the conventions of Standard English?,describes,describe,have described,are describing
sat-practice-test-7-digital,Reading and Writing,1,20,Multiple Choice,D,"Eighteen letters written by Louisa May Alcott, author of the popular novel Little Women(1868), can be found at the New York Historical Society. _______ letters demonstrate Alcott’s keen business sense in her interactions with publishers.",Which choice completes the text so that it conforms to the conventions of Standard English?,One,That,This,These
sat-practice-test-7-digital,Reading and Writing,1,21,Multiple Choice,D,"The Dust Bowl was a period of severe drought that plagued the Great Plains of the US during the 1930s. During this time, dust storms _______ over 100 million acres of land. They even reached as far east as New York City.",Which choice completes the text so that it conforms to the conventions of Standard English?,are affecting,will have affected,will affect,affected
sat-practice-test-7-digital,Reading and Writing,1,22,Multiple Choice,C,- - - - - - - ~ Many mechanical calculators were powered by a notched cylinder mechanism called the Leibniz wheel. Leibniz wheel calculators were popular in the first half of the twentieth _______ these ingenious devices were eventually replaced by electronic calculators.,Which choice completes the text so that it conforms to the conventions of Standard English?,century,"century,","century, but",century that
sat-practice-test-7-digital,Reading and Writing,1,23,Multiple Choice,C,"- - - - - - - ~ Featuring jagged peaks of black ink surrounded by hazy swirls of blue and green paint, Zhang Daqian’s 1983 painting Panorama of Mount Luis inspired by the tradition of qinglü shanshui, a type of Chinese landscape painting _______ by the use of blue and green hues to depict ethereal, otherworldly landscapes.",Which choice completes the text so that it conforms to the conventions of Standard English?,has been characterized,will be characterized,characterized,is characterized Mo
sat-practice-test-7-digital,Reading and Writing,1,24,Multiple Choice,A,"Increasing the heat on an uncovered boiling pot of water does not increase the temperature of the water. What increases is the rate at which the water turns to _______ a pressure cooker pot, though, an airtight seal traps the vapor in the pot, creating pressure that allows the temperature of the water to increase past its boiling point.",Which choice completes the text so that it conforms to the conventions of Standard English?,vapor. With,vapor with,"vapor, with",vapor and with
sat-practice-test-7-digital,Reading and Writing,1,25,Multiple Choice,D,"Wanting to celebrate the 100th anniversary of the Alaska Purchase, _______ up with a motto that best captured the state’s unique character. The commission selected “North to the Future,” submitted by Juneau journalist Richard Peter, as its winning entry.",Which choice completes the text so that it conforms to the conventions of Standard English?,a contest sponsored by the Alaska Centennial Commission would award $300 to an individual who came,an award of $300 would go to an individual in a contest sponsored by the Alaska Centennial Commission for coming,$300 would be awarded to an individual by the Alaska Centennial Commission in a contest for coming,the Alaska Centennial Commission sponsored a contest that would award $300 to an individual who came
sat-practice-test-7-digital,Reading and Writing,1,26,Multiple Choice,D,"Recently unearthed Neronian tools in France dating to 54,000 years ago and attributed to Homo sapiens may provide evidence that interactions between Neanderthals and modern humans occurred 10,000 years earlier than was previously _______ finding that, if true, would overturn current theories about H. sapiensmigration during the Upper Paleolithic.",Which choice completes the text so that it conforms to the conventions of Standard English?,supposed; a,supposed. A,supposed a,"supposed, a"
sat-practice-test-7-digital,Reading and Writing,1,27,Multiple Choice,A,Guard cells are specialized cells that are part of a plant’s pores. These cells help regulate the amount of carbon dioxide a plant takes in. _______ they help regulate a plant’s water loss.,Which choice completes the text with the most logical transition?,"Additionally,","Previously,","In conclusion,","Instead, odule"
